,file,transcript,hindi_target,hindi_translated
0,MAN_AH_139_9ZZ1998A, NINE ZERO ZERO ONE NINE NINE EIGHT,नौ शून्य शून्य एक नौ नौ आठ,शून्य नौ एक नौ शून्य आठ नौ
1,MAN_AH_141_O5O6671A, ZERO FIVE ZERO SIX SIX SEVEN ONE,शून्य पांच शून्य छः छः सात एक,शून्य पांच छः शून्य सात छः एक
2,MAN_AH_77_3O33951A, THREE ZERO THREE THREE NINE FIVE ONE,तीन शून्य तीन तीन नौ पांच एक,तीन तीन शून्य तीन नौ पांच एक
3,MAN_AR_164_2554454A, TWO FIVE FIVE FOUR FOUR FIVE FOUR,दो पांच पांच चार चार पांच चार,दो पांच पांच चार पांच चार चार
4,MAN_AT_300_Z119A, ZERO ONE ONE NINE,शून्य एक एक नौ,एक शून्य एक नौ
5,MAN_BN_553_2OO22O4A, TWO ZERO ZERO TWO TWO ZERO FOUR,दो शून्य शून्य दो दो शून्य चार,दो शून्य दो शून्य दो शून्य चार
6,MAN_BN_577_6773266A, SIX SEVEN SEVEN THREE TWO SIX SIX,छः सात सात तीन दो छः छः,सात छः तीन सात दो छः छः
7,MAN_CE_707_2O28691A, TWO ZERO TWO EIGHT SIX NINE ONE,दो शून्य दो आठ छः नौ एक,दो शून्य आठ दो छः नौ एक
8,MAN_CE_723_5844557A, FIVE EIGHT FOUR FOUR FIVE FIVE SEVEN,पांच आठ चार चार पांच पांच सात,पांच आठ चार पांच चार पांच सात
9,MAN_CP_798_5337Z77A, FIVE THREE THREE SEVEN ZERO SEVEN SEVEN,पांच तीन तीन सात शून्य सात सात,पांच तीन तीन शून्य सात सात सात
10,MAN_CP_843_Z883A, ZERO EIGHT EIGHT THREE,शून्य आठ आठ तीन,आठ शून्य आठ तीन
11,MAN_DF_871_4671198A, FOUR SIX SEVEN ONE ONE NINE EIGHT,चार छः सात एक एक नौ आठ,चार छः एक सात एक नौ आठ
12,MAN_DF_891_76ZZ889A, SEVEN SIX ZERO ZERO EIGHT EIGHT NINE,सात छः शून्य शून्य आठ आठ नौ,सात छः शून्य आठ शून्य आठ नौ
13,MAN_DJ_955_5858735A, FIVE EIGHT FIVE EIGHT SEVEN THREE FIVE,पांच आठ पांच आठ सात तीन पांच,पांच आठ आठ पांच सात तीन पांच
14,MAN_DJ_958_5O644A, FIVE ZERO SIX FOUR FOUR,पांच शून्य छः चार चार,पांच छः शून्य चार चार
15,MAN_ED_1007_1O11296A, ONE ZERO ONE ONE TWO NINE SIX,एक शून्य एक एक दो नौ छः,एक एक शून्य एक दो नौ छः
16,MAN_ED_1048_7O744A, SEVEN ZERO SEVEN FOUR FOUR,सात शून्य सात चार चार,सात सात चार शून्य चार
17,MAN_ED_1063_O5O9465A, ZERO FIVE ZERO NINE FOUR SIX FIVE,शून्य पांच शून्य नौ चार छः पांच,शून्य शून्य पांच नौ चार छः पांच
18,MAN_FA_1243_2949578A, TWO NINE FOUR NINE FIVE SEVEN EIGHT,दो नौ चार नौ पांच सात आठ,दो नौ चार नौ पांच आठ सात
19,MAN_FA_1254_43ZZZ36A, FOUR THREE ZERO ZERO ZERO THREE SIX,चार तीन शून्य शून्य शून्य तीन छः,चार शून्य तीन शून्य शून्य तीन छः
20,MAN_FG_1350_7411599A, SEVEN FOUR ONE ONE FIVE NINE NINE,सात चार एक एक पांच नौ नौ,सात चार एक पांच एक नौ नौ
21,MAN_FM_1485_4288967A, FOUR TWO EIGHT EIGHT NINE SIX SEVEN,चार दो आठ आठ नौ छः सात,चार आठ दो नौ आठ छः सात
22,MAN_FM_1515_88ZZ285A, EIGHT EIGHT ZERO ZERO TWO EIGHT FIVE,आठ आठ शून्य शून्य दो आठ पांच,आठ शून्य आठ आठ दो शून्य पांच
23,MAN_FP_1580_6Z5Z498A, SIX ZERO FIVE ZERO FOUR NINE EIGHT,छः शून्य पांच शून्य चार नौ आठ,छः शून्य पांच शून्य नौ चार आठ
24,MAN_FT_30_5216988A, FIVE TWO ONE SIX NINE EIGHT EIGHT,पांच दो एक छः नौ आठ आठ,पांच दो एक छः आठ नौ आठ
25,MAN_FT_57_966381ZA, NINE SIX SIX THREE EIGHT ONE ZERO,नौ छः छः तीन आठ एक शून्य,नौ छः छः आठ तीन एक शून्य
26,MAN_GA_1834_O199113A, ZERO ONE NINE NINE ONE ONE THREE,शून्य एक नौ नौ एक एक तीन,शून्य नौ एक एक नौ तीन एक
27,MAN_GP_1869_4434427A, FOUR FOUR THREE FOUR FOUR TWO SEVEN,चार चार तीन चार चार दो सात,चार चार चार तीन चार दो सात
28,MAN_GS_1967_747Z499A, SEVEN FOUR SEVEN ZERO FOUR NINE NINE,सात चार सात शून्य चार नौ नौ,सात चार सात चार शून्य नौ नौ
29,MAN_GW_2029_4ZZ7Z3ZA, FOUR ZERO ZERO SEVEN ZERO THREE ZERO,चार शून्य शून्य सात शून्य तीन शून्य,शून्य चार शून्य सात शून्य तीन शून्य
30,MAN_HC_2116_6772A, SIX SEVEN SEVEN TWO,छः सात सात दो,सात छः सात दो
31,MAN_HJ_2158_1228845A, ONE TWO TWO EIGHT EIGHT FOUR FIVE,एक दो दो आठ आठ चार पांच,दो एक आठ दो आठ चार पांच
32,MAN_HJ_2183_4ZZZ647A, FOUR ZERO ZERO ZERO SIX FOUR SEVEN,चार शून्य शून्य शून्य छः चार सात,शून्य चार शून्य चार छः शून्य सात
33,MAN_HJ_2191_6599Z85A, SIX FIVE NINE NINE ZERO EIGHT FIVE,छः पांच नौ नौ शून्य आठ पांच,छः पांच नौ नौ आठ शून्य पांच
34,MAN_HM_2289_94498A, NINE FOUR FOUR NINE EIGHT,नौ चार चार नौ आठ,नौ चार नौ चार आठ
35,MAN_HR_2382_Z7Z1ZZ9A, ZERO SEVEN ZERO ONE ZERO ZERO NINE,शून्य सात शून्य एक शून्य शून्य नौ,शून्य शून्य सात एक शून्य शून्य नौ
36,MAN_IB_2465_12273A, ONE TWO TWO SEVEN THREE,एक दो दो सात तीन,दो एक दो सात तीन
37,MAN_IP_2676_97756A, NINE SEVEN SEVEN FIVE SIX,नौ सात सात पांच छः,सात नौ सात पांच छः
38,MAN_JA_2699_1866331A, ONE EIGHT SIX SIX THREE THREE ONE,एक आठ छः छः तीन तीन एक,आठ एक छः छः तीन तीन एक
39,MAN_JH_2774_1335OO5A, ONE THREE THREE FIVE ZERO ZERO FIVE,एक तीन तीन पांच शून्य शून्य पांच,एक तीन तीन शून्य पांच पांच शून्य
40,MAN_JH_2800_5212788A, FIVE TWO ONE TWO SEVEN EIGHT EIGHT,पांच दो एक दो सात आठ आठ,पांच दो एक दो आठ सात आठ
41,MAN_KE_2950_47799A, FOUR SEVEN SEVEN NINE NINE,चार सात सात नौ नौ,सात चार सात नौ नौ
42,MAN_KE_2953_4ZZ345ZA, FOUR ZERO ZERO THREE FOUR FIVE ZERO,चार शून्य शून्य तीन चार पांच शून्य,शून्य चार चार शून्य तीन पांच शून्य
43,MAN_KE_2975_82Z5Z2ZA, EIGHT TWO ZERO FIVE ZERO TWO ZERO,आठ दो शून्य पांच शून्य दो शून्य,आठ शून्य दो दो पांच शून्य शून्य
44,MAN_KG_3052_8336O8OA, EIGHT THREE THREE SIX ZERO EIGHT ZERO,आठ तीन तीन छः शून्य आठ शून्य,तीन आठ शून्य तीन छः आठ शून्य
45,MAN_LG_3174_347584OA, THREE FOUR SEVEN FIVE EIGHT FOUR ZERO,तीन चार सात पांच आठ चार शून्य,तीन चार सात पांच आठ शून्य चार
46,MAN_LG_3184_4OO4A, FOUR ZERO ZERO FOUR,चार शून्य शून्य चार,शून्य चार चार शून्य
47,MAN_LG_3222_O8892A, ZERO EIGHT EIGHT NINE TWO,शून्य आठ आठ नौ दो,आठ शून्य आठ नौ दो
48,MAN_MI_3288_8ZZ8184A, EIGHT ZERO ZERO EIGHT ONE EIGHT FOUR,आठ शून्य शून्य आठ एक आठ चार,शून्य आठ आठ शून्य एक आठ चार
49,MAN_MI_3297_O33A, ZERO THREE THREE,शून्य तीन तीन,तीन शून्य तीन
