,file,ph seq,transcript
0,MAN_AB_77_1234A,sil hh_B w_I ah_I n_E sil t_B uw_E sil th_B r_I iy_E sil f_B ao_I r_E sil, one two three four
1,MAN_AB_78_6789A,sil s_B ih_I k_I s_E sil s_B eh_I v_I ah_I n_E sil ey_B t_E sil n_B ay_I n_E sil, six seven eight nine
2,MAN_AH_100_3OA,sil th_B r_I iy_E ow_S sil, three oh
3,MAN_AH_101_4151A,sil f_B ao_I r_E hh_B w_I ah_I n_E f_B ay_I v_E hh_B w_I ah_I n_E sil, four one five one
4,MAN_AH_102_416A,sil f_B ao_I r_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil, four one six
5,MAN_AH_103_428OOO9A,sil f_B ao_I r_E t_B uw_E ey_B t_E sil ow_S ow_S ow_S n_B ay_I n_E sil, four two eight oh oh oh nine
6,MAN_AH_104_452Z3A,sil f_B ao_I r_E f_B ay_I v_E sil t_B uw_E z_B iy_I r_I ow_E th_B r_I iy_E sil, four five two zero three
7,MAN_AH_105_4625A,sil f_B ao_I r_E s_B ih_I k_I s_E t_B uw_E f_B ay_I v_E sil, four six two five
8,MAN_AH_106_4A,sil f_B ao_I r_E sil, four
9,MAN_AH_107_4B,sil f_B ao_I r_E sil, four
10,MAN_AH_108_56186A,sil f_B ay_I v_E s_B ih_I k_I s_E hh_B w_I ah_I n_E ey_B t_E s_B ih_I k_I s_E sil, five six one eight six
11,MAN_AH_109_56A,sil f_B ay_I v_E sil s_B ih_I k_I s_E sil, five six
12,MAN_AH_110_588ZZA,sil f_B ay_I v_E ey_B t_E ey_B t_E sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, five eight eight zero zero
13,MAN_AH_111_5A,sil f_B ay_I v_E sil, five
14,MAN_AH_112_5B,sil f_B ay_I v_E sil, five
15,MAN_AH_113_5O217A,sil f_B ay_I v_E ow_S t_B uw_E hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E sil, five oh two one seven
16,MAN_AH_114_5ZA,sil f_B ay_I v_E z_B iy_I r_I ow_E sil, five zero
17,MAN_AH_115_63A,sil s_B ih_I k_I s_E th_B r_I iy_E sil, six three
18,MAN_AH_116_65A,sil s_B ih_I k_I s_E f_B ay_I v_E sil, six five
19,MAN_AH_117_69A,sil s_B ih_I k_I s_E n_B ay_I n_E sil, six nine
20,MAN_AH_118_6A,sil s_B ih_I k_I s_E sil, six
21,MAN_AH_119_6O838A,sil s_B ih_I k_I s_E ow_S ey_B t_E th_B r_I iy_E ey_B t_E sil, six oh eight three eight
22,MAN_AH_120_6Z8ZZ64A,sil s_B ih_I k_I s_E z_B iy_I r_I ow_E ey_B t_E sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E s_B ih_I k_I s_E f_B ao_I r_E sil, six zero eight zero zero six four
23,MAN_AH_121_73A,sil s_B eh_I v_I ah_I n_E th_B r_I iy_E sil, seven three
24,MAN_AH_122_74662A,sil s_B eh_I v_I ah_I n_E f_B ao_I r_E s_B ih_I k_I s_E s_B ih_I k_I s_E t_B uw_E sil, seven four six six two
25,MAN_AH_123_74O8O12A,sil s_B eh_I v_I ah_I n_E f_B ao_I r_E ow_S sil ey_B t_E ow_S hh_B w_I ah_I n_E t_B uw_E sil, seven four oh eight oh one two
26,MAN_AH_124_75913A,sil s_B eh_I v_I ah_I n_E f_B ay_I v_E n_B ay_I n_E hh_B w_I ah_I n_E th_B r_I iy_E sil, seven five nine one three
27,MAN_AH_125_79OA,sil s_B eh_I v_I ah_I n_E n_B ay_I n_E ow_S sil, seven nine oh
28,MAN_AH_126_7A,sil s_B eh_I v_I ah_I n_E sil, seven
29,MAN_AH_127_7B,sil s_B eh_I v_I ah_I n_E sil, seven
30,MAN_AH_128_83692A,sil ey_B t_E th_B r_I iy_E s_B ih_I k_I s_E n_B ay_I n_E t_B uw_E sil, eight three six nine two
31,MAN_AH_129_844O1A,sil ey_B t_E f_B ao_I r_E f_B ao_I r_E ow_S hh_B w_I ah_I n_E sil, eight four four oh one
32,MAN_AH_130_853A,sil ey_B t_E f_B ay_I v_E th_B r_I iy_E sil, eight five three
33,MAN_AH_131_853ZA,sil ey_B t_E f_B ay_I v_E th_B r_I iy_E z_B iy_I r_I ow_E sil, eight five three zero
34,MAN_AH_132_8729726A,sil ey_B t_E s_B eh_I v_I ah_I n_E t_B uw_E sil n_B ay_I n_E s_B eh_I v_I ah_I n_E t_B uw_E s_B ih_I k_I s_E sil, eight seven two nine seven two six
35,MAN_AH_133_8A,sil ey_B t_E sil, eight
36,MAN_AH_134_8B,sil ey_B t_E sil, eight
37,MAN_AH_135_943A,sil n_B ay_I n_E f_B ao_I r_E th_B r_I iy_E sil, nine four three
38,MAN_AH_136_9443A,sil n_B ay_I n_E f_B ao_I r_E f_B ao_I r_E th_B r_I iy_E sil, nine four four three
39,MAN_AH_137_954A,sil n_B ay_I n_E f_B ay_I v_E f_B ao_I r_E sil, nine five four
40,MAN_AH_138_9A,sil n_B ay_I n_E sil, nine
41,MAN_AH_139_9B,sil n_B ay_I n_E sil, nine
42,MAN_AH_140_9Z5A,sil n_B ay_I n_E z_B iy_I r_I ow_E f_B ay_I v_E sil, nine zero five
43,MAN_AH_141_9ZZ1998A,sil n_B ay_I n_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil hh_B w_I ah_I n_E n_B ay_I n_E n_B ay_I n_E ey_B t_E sil, nine zero zero one nine nine eight
44,MAN_AH_142_O321OO7A,sil ow_S th_B r_I iy_E t_B uw_E sil hh_B w_I ah_I n_E sil ow_S ow_S s_B eh_I v_I ah_I n_E sil, oh three two one oh oh seven
45,MAN_AH_143_O5O6671A,sil ow_S f_B ay_I v_E sil ow_S sil s_B ih_I k_I s_E s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E sil, oh five oh six six seven one
46,MAN_AH_144_O789A,sil ow_S s_B eh_I v_I ah_I n_E ey_B t_E sil n_B ay_I n_E sil, oh seven eight nine
