,file,transcript,hindi_target,hindi_translated
0,MAN_AH_100_416A, FOUR ONE SIX,चार एक छः, चार एक छः _END
1,MAN_AH_101_428OOO9A, FOUR TWO EIGHT ZERO ZERO ZERO NINE,चार दो आठ शून्य शून्य शून्य नौ, चार दो आठ शून्य शून्य शून्य नौ _END
2,MAN_AH_102_452Z3A, FOUR FIVE TWO ZERO THREE,चार पांच दो शून्य तीन, चार पांच दो शून्य तीन _END
3,MAN_AH_103_4625A, FOUR SIX TWO FIVE,चार छः दो पांच, चार छः दो पांच _END
4,MAN_AH_104_4A, FOUR,चार, चार _END
5,MAN_AH_105_4B, FOUR,चार, चार _END
6,MAN_AH_106_56186A, FIVE SIX ONE EIGHT SIX,पांच छः एक आठ छः, पांच छः एक आठ छः _END
7,MAN_AH_107_56A, FIVE SIX,पांच छः, पांच छः _END
8,MAN_AH_108_588ZZA, FIVE EIGHT EIGHT ZERO ZERO,पांच आठ आठ शून्य शून्य, पांच आठ आठ शून्य शून्य _END
9,MAN_AH_109_5A, FIVE,पांच, पांच _END
10,MAN_AH_110_5B, FIVE,पांच, पांच _END
11,MAN_AH_111_5O217A, FIVE ZERO TWO ONE SEVEN,पांच शून्य दो एक सात, पांच शून्य दो एक सात _END
12,MAN_AH_112_5ZA, FIVE ZERO,पांच शून्य, पांच शून्य _END
13,MAN_AH_113_63A, SIX THREE,छः तीन, छः तीन _END
14,MAN_AH_114_65A, SIX FIVE,छः पांच, छः पांच _END
15,MAN_AH_115_69A, SIX NINE,छः नौ, छः नौ _END
16,MAN_AH_116_6A, SIX,छः, छः _END
17,MAN_AH_117_6O838A, SIX ZERO EIGHT THREE EIGHT,छः शून्य आठ तीन आठ, छः शून्य आठ तीन आठ _END
18,MAN_AH_118_6Z8ZZ64A, SIX ZERO EIGHT ZERO ZERO SIX FOUR,छः शून्य आठ शून्य शून्य छः चार, छः शून्य आठ शून्य शून्य छः चार _END
19,MAN_AH_119_73A, SEVEN THREE,सात तीन, सात तीन _END
20,MAN_AH_120_74662A, SEVEN FOUR SIX SIX TWO,सात चार छः छः दो, सात चार छः छः दो _END
21,MAN_AH_121_74O8O12A, SEVEN FOUR ZERO EIGHT ZERO ONE TWO,सात चार शून्य आठ शून्य एक दो, सात चार शून्य आठ शून्य एक दो _END
22,MAN_AH_122_75913A, SEVEN FIVE NINE ONE THREE,सात पांच नौ एक तीन, सात पांच नौ एक तीन _END
23,MAN_AH_123_79OA, SEVEN NINE ZERO,सात नौ शून्य, सात नौ शून्य _END
24,MAN_AH_124_7A, SEVEN,सात, सात _END
25,MAN_AH_125_7B, SEVEN,सात, सात _END
26,MAN_AH_126_83692A, EIGHT THREE SIX NINE TWO,आठ तीन छः नौ दो, आठ तीन छः नौ दो _END
27,MAN_AH_127_844O1A, EIGHT FOUR FOUR ZERO ONE,आठ चार चार शून्य एक, आठ चार चार शून्य एक _END
28,MAN_AH_128_853A, EIGHT FIVE THREE,आठ पांच तीन, आठ पांच तीन _END
29,MAN_AH_129_853ZA, EIGHT FIVE THREE ZERO,आठ पांच तीन शून्य, आठ पांच तीन शून्य _END
30,MAN_AH_130_8729726A, EIGHT SEVEN TWO NINE SEVEN TWO SIX,आठ सात दो नौ सात दो छः, आठ सात दो नौ सात दो छः _END
31,MAN_AH_131_8A, EIGHT,आठ, आठ _END
32,MAN_AH_132_8B, EIGHT,आठ, आठ _END
33,MAN_AH_133_943A, NINE FOUR THREE,नौ चार तीन, नौ चार तीन _END
34,MAN_AH_134_9443A, NINE FOUR FOUR THREE,नौ चार चार तीन, नौ चार चार तीन _END
35,MAN_AH_135_954A, NINE FIVE FOUR,नौ पांच चार, नौ पांच चार _END
36,MAN_AH_136_9A, NINE,नौ, नौ _END
37,MAN_AH_137_9B, NINE,नौ, नौ _END
38,MAN_AH_138_9Z5A, NINE ZERO FIVE,नौ शून्य पांच, नौ शून्य पांच _END
39,MAN_AH_139_9ZZ1998A, NINE ZERO ZERO ONE NINE NINE EIGHT,नौ शून्य शून्य एक नौ नौ आठ, शून्य नौ एक नौ शून्य आठ नौ _END
40,MAN_AH_140_O321OO7A, ZERO THREE TWO ONE ZERO ZERO SEVEN,शून्य तीन दो एक शून्य शून्य सात, शून्य तीन दो एक शून्य शून्य सात _END
41,MAN_AH_141_O5O6671A, ZERO FIVE ZERO SIX SIX SEVEN ONE,शून्य पांच शून्य छः छः सात एक, शून्य पांच छः शून्य सात छः एक _END
42,MAN_AH_142_O789A, ZERO SEVEN EIGHT NINE,शून्य सात आठ नौ, शून्य सात आठ नौ _END
43,MAN_AH_143_O9A, ZERO NINE,शून्य नौ, शून्य नौ _END
44,MAN_AH_144_OA, ZERO,शून्य, शून्य _END
45,MAN_AH_145_OB, ZERO,शून्य, शून्य _END
46,MAN_AH_146_OO47A, ZERO ZERO FOUR SEVEN,शून्य शून्य चार सात, शून्य शून्य चार सात _END
47,MAN_AH_147_Z4548A, ZERO FOUR FIVE FOUR EIGHT,शून्य चार पांच चार आठ, शून्य चार पांच चार आठ _END
